,pageid,RAKE_keywords
28,2501,"[('„ goethe', 0.00047619047619047673), ('goethe „', 0.00047619047619047673), ('schiller goethe', 0.004047619047619049), ('goethe schrieb', 0.00417989417989418), ('lernte goethe', 0.004246031746031747), ('goethe lernte', 0.004246031746031747), ('gilt goethe', 0.004246031746031747), ('beschäftigte goethe', 0.004246031746031747), ('zog goethe', 0.004312169312169312), ('hielt goethe', 0.004312169312169312)]"
29,60100,"[('stadt braunschweig', 0.00047619047619047673), ('braunschweig führte', 0.002299898682877406), ('truppen braunschweig', 0.0025025329280648433), ('stadtgebiet braunschweig', 0.0025025329280648433), ('braunschweig „', 0.0025025329280648433), ('region braunschweig', 0.00270516717325228), ('landkreis braunschweig', 0.00270516717325228), ('braunschweig entwickelte', 0.00270516717325228), ('braunschweig politische', 0.0029078014184397163), ('landtagswahlkreise braunschweig', 0.0031104356636271536)]"
30,51610,"[('stadt montreal', 0.00047619047619047673), ('montreal ).', 0.0014965986394557828), ('montreal gehört', 0.002517006802721089), ('montreal besteht', 0.002517006802721089), ('montreal 1992', 0.002517006802721089), ('richtung montreal', 0.0026870748299319736), ('montreal zählt', 0.0026870748299319736), ('wies montreal', 0.002857142857142858), ('verwaltungsregion montreal', 0.002857142857142858), ('verbinden montreal', 0.002857142857142858)]"
31,826909,"[('bundestag gewählt', 0.00047619047619047673), ('deutschen bundestag', 0.0017460317460317465), ('bundestag vertreten', 0.0019047619047619048), ('bundestag beschlossen', 0.0019047619047619048), ('bundestag schließlich', 0.002063492063492064), ('bundestag stehen', 0.0022222222222222222), ('bundestag gesetze', 0.0022222222222222222), ('ersetzt bundestag', 0.002380952380952381), ('deutsche bundestag', 0.0026984126984126986), ('bundestag versuchte', 0.0026984126984126986)]"
32,106547,"[('deutschen reich', 0.00047619047619047673), ('deutschen reiches', 0.0010256410256410254), ('deutschen kaiser', 0.0013919413919413926), ('deutschen kaiserreich', 0.001575091575091575), ('deutschen staaten', 0.0017582417582417587), ('bismarck blieb', 0.0017582417582417587), ('deutschen kaisers', 0.0019413919413919412), ('deutschen juden', 0.0019413919413919412), ('deutschen außenpolitik', 0.0019413919413919412), ('deutsche politik', 0.0019413919413919412)]"
33,31818,"[('stadt toronto', 0.0004761904761904778), ('toronto liegt', 0.002626728110599079), ('toronto gehört', 0.002780337941628265), ('toronto 1', 0.002780337941628265), ('downtown toronto', 0.002780337941628265), ('toronto zoo', 0.0029339477726574516), ('toronto aufgewachsen', 0.003087557603686637), ('toronto 2008', 0.003087557603686637), ('toronto 1997', 0.003087557603686637), ('toronto rock', 0.0032411674347158225)]"
34,8531,"[('4 prozent', 0.00047619047619047673), ('2 prozent', 0.00047619047619047673), ('ghana beheimatet', 0.0009297052154195018), ('6 prozent', 0.0009297052154195018), ('3 prozent', 0.0009297052154195018), ('20 prozent', 0.0009297052154195018), ('9 prozent', 0.0013832199546485269), ('85 prozent', 0.0013832199546485269), ('80 prozent', 0.0013832199546485269), ('8 prozent', 0.0013832199546485269)]"
35,5716,"[('stadt wiesbaden', 0.00047619047619047673), ('wiesbaden ).', 0.0017020273455917035), ('wiesbaden :', 0.002267798208392269), ('wiesbaden befindet', 0.0023620933521923625), ('wiesbaden liegt', 0.0025506836397925516), ('wiesbaden “', 0.0027392739273927403), ('kurhaus wiesbaden', 0.002833569071192834), ('wiesbaden landeshauptstadt', 0.002927864214992929), ('wiesbaden beginnt', 0.002927864214992929), ('wiesbaden 2009', 0.002927864214992929)]"
36,12049,"[('stadt regensburg', 0.00047619047619047673), ('regensburg (', 0.0023941798941798952), ('altstadt regensburg', 0.0026587301587301594), ('regensburg befindet', 0.002791005291005292), ('universität regensburg', 0.0029232804232804245), ('regensburg liegt', 0.0029232804232804245), ('regensburg außerhalb', 0.0029232804232804245), ('liegt regensburg', 0.0029232804232804245), ('reichsstadt regensburg', 0.0029894179894179905), ('regensburg 2000', 0.0029894179894179905)]"
37,49277,"[('stadt seoul', 0.00047619047619047673), ('seoul befindet', 0.001925465838509317), ('seoul befinden', 0.0025465838509316774), ('seoul verfügt', 0.002753623188405798), ('seoul land', 0.002753623188405798), ('seoul finden', 0.002753623188405798), ('truppen seoul', 0.002960662525879918), ('seoul liegt', 0.002960662525879918), ('seoul beträgt', 0.002960662525879918), ('seoul wuchs', 0.0031677018633540378)]"
38,14174,"[('stadt rostock', 0.00047619047619047673), ('rostock (', 0.0007301587301587298), ('rostock –', 0.0012380952380952382), ('universität rostock', 0.001873015873015873), ('rostock erhielt', 0.001873015873015873), ('hansestadt rostock', 0.001873015873015873), ('überseehafen rostock', 0.0019999999999999996), ('rostock leben', 0.0019999999999999996), ('rostock fand', 0.0019999999999999996), ('rostock befindet', 0.0019999999999999996)]"
39,10690,"[('chromosomen (', 0.00047619047619047673), ('chromosomen bezeichnet', 0.002857142857142857), ('verschiedenen chromosomen', 0.003303571428571429), ('chromosomen ),', 0.0034523809523809524), ('chromosomen bestehen', 0.0038988095238095244), ('chromosomen 1', 0.0038988095238095244), ('chromosom (', 0.0038988095238095244), ('46 chromosomen', 0.0038988095238095244), ('klassischen chromosomen', 0.004047619047619047), ('chromosomen enthalten', 0.004047619047619047)]"
40,19028,"[('bundesliga (', 0.00047619047619047673), ('meisten bundesliga', 0.0014920634920634922), ('deutsche bundesliga', 0.001619047619047619), ('bundesliga –', 0.002253968253968254), ('bundesliga ausgetragen', 0.002507936507936508), ('„ bundesliga', 0.0026349206349206345), ('einzelnen bundesliga', 0.0026349206349206345), ('bundesliga live', 0.0026349206349206345), ('bundesliga :', 0.0026349206349206345), ('längsten bundesliga', 0.0027619047619047623)]"
41,3466135,"[('fluss elbe', 0.00047619047619047673), ('elbe ).', 0.00047619047619047673), ('elbe –', 0.0006122448979591832), ('heutigen elbe', 0.0008843537414965985), ('elbe liegen', 0.0011564625850340139), ('elbe mündet', 0.0012925170068027213), ('elbe :', 0.0012925170068027213), ('obere elbe', 0.001428571428571429), ('elbe stehen', 0.001428571428571429), ('„ elbe', 0.0015646258503401356)]"
